Trial,Alpha,Algorithm,Time (s)
1,0.81,AceHash,0.0829782
2,0.81,Conventional,0.130989
2,0.81,AceHash,0.0829792
3,0.81,Conventional,0.130956
3,0.81,AceHash,0.0829506
4,0.81,Conventional,0.131469
4,0.81,AceHash,0.0829662
0,0.82,Conventional,0.134072
0,0.82,AceHash,0.0828938
1,0.82,Conventional,0.133672
1,0.82,AceHash,0.0830398
2,0.82,Conventional,0.133566
2,0.82,AceHash,0.0829087
3,0.82,Conventional,0.133716
3,0.82,AceHash,0.0828267
4,0.82,Conventional,0.133973
4,0.82,AceHash,0.0828471
0,0.83,Conventional,0.136395
0,0.83,AceHash,0.0827869
1,0.83,Conventional,0.136665
1,0.83,AceHash,0.0828598
2,0.83,Conventional,0.136541
2,0.83,AceHash,0.0832589
3,0.83,Conventional,0.136444
3,0.83,AceHash,0.0829276
4,0.83,Conventional,0.136553
4,0.83,AceHash,0.082869
0,0.84,Conventional,0.139354
0,0.84,AceHash,0.0826764
1,0.84,Conventional,0.139397
1,0.84,AceHash,0.0827025
2,0.84,Conventional,0.139427
2,0.84,AceHash,0.082681
3,0.84,Conventional,0.139511
3,0.84,AceHash,0.0827118
4,0.84,Conventional,0.13935
4,0.84,AceHash,0.0828946
0,0.85,Conventional,0.142449
0,0.85,AceHash,0.082692
1,0.85,Conventional,0.143151
1,0.85,AceHash,0.082729
2,0.85,Conventional,0.142999
2,0.85,AceHash,0.0826989
3,0.85,Conventional,0.142634
3,0.85,AceHash,0.0828413
4,0.85,Conventional,0.142682
4,0.85,AceHash,0.0827105
0,0.86,Conventional,0.145742
0,0.86,AceHash,0.0826576
1,0.86,Conventional,0.146489
1,0.86,AceHash,0.0825926
