Number of keys,Algorithm,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
10000000,AceHash;1.5;0.95;1;1;1;0,3,53363904,0.768144,0.0833995,0.00864833
10000000,AceHash;1.5;0.95;1;1;1;0,4,53363904,0.771009,0.0833933,0.00868095
10000000,AceHash;1.5;0.95;1;1;1;1,0,53364552,0.202072,0.083447,0.00867229
10000000,AceHash;1.5;0.95;1;1;1;1,1,53364984,0.203546,0.0833025,0.00864114
10000000,AceHash;1.5;0.95;1;1;1;1,2,53362720,0.202902,0.0832663,0.00864841
10000000,AceHash;1.5;0.95;1;1;1;1,3,53364728,0.203403,0.08324,0.00865906
10000000,AceHash;1.5;0.95;1;1;1;1,4,53364696,0.184411,0.0835147,0.00864068
10000000,AceHash;1.5;1;0;0;0;0,0,54310744,4.33048,0.108838,0.0115841
10000000,AceHash;1.5;1;0;0;0;0,1,54310744,4.32598,0.108377,0.011581
10000000,AceHash;1.5;1;0;0;0;0,2,54310744,4.32766,0.108777,0.0115743
10000000,AceHash;1.5;1;0;0;0;0,3,54310744,4.32714,0.108705,0.0115533
10000000,AceHash;1.5;1;0;0;0;0,4,54310744,4.32647,0.108512,0.0115775
10000000,AceHash;1.5;1;1;0;0;0,0,54310744,1.75795,0.108714,0.0112424
10000000,AceHash;1.5;1;1;0;0;0,1,54310744,1.75452,0.10793,0.0112877
10000000,AceHash;1.5;1;1;0;0;0,2,54310744,1.75517,0.108029,0.0112399
10000000,AceHash;1.5;1;1;0;0;0,3,54310744,1.75734,0.107829,0.0112932
10000000,AceHash;1.5;1;1;0;0;0,4,54310744,1.76141,0.108344,0.011243
10000000,AceHash;1.5;1;1;1;0;0,0,55709232,0.808863,0.122752,0.0128894
10000000,AceHash;1.5;1;1;1;0;0,1,55709232,0.809406,0.123367,0.0128611
10000000,AceHash;1.5;1;1;1;0;0,2,55709232,0.825766,0.12289,0.0128447
10000000,AceHash;1.5;1;1;1;0;0,3,55709232,0.825424,0.123509,0.0128685
10000000,AceHash;1.5;1;1;1;0;0,4,55709232,0.829732,0.123322,0.0128838
10000000,AceHash;1.5;1;1;1;1;0,0,55709232,0.82513,0.08786,0.00905749
10000000,AceHash;1.5;1;1;1;1;0,1,55709232,0.824968,0.0875275,0.00910038
10000000,AceHash;1.5;1;1;1;1;0,2,55709232,0.82686,0.0868815,0.0090854
10000000,AceHash;1.5;1;1;1;1;0,3,55709232,0.825405,0.0874923,0.00909443
10000000,AceHash;1.5;1;1;1;1;0,4,55709232,0.827952,0.0866012,0.00909887
10000000,AceHash;1.5;1;1;1;1;1,0,55714528,0.240585,0.087404,0.00915875
10000000,AceHash;1.5;1;1;1;1;1,1,55711280,0.240427,0.0877304,0.00916134
10000000,AceHash;1.5;1;1;1;1;1,2,55724176,0.229363,0.0871181,0.0091732
10000000,AceHash;1.5;1;1;1;1;1,3,55700056,0.240753,0.0867711,0.00910869
10000000,AceHash;1.5;1;1;1;1;1,4,55705992,0.241442,0.087464,0.00913807
10000000,AceHash;2;0.7;0;0;0;0,0,40000000,2.95078,0.104799,0.0109134
10000000,AceHash;2;0.7;0;0;0;0,1,40000000,2.95085,0.104811,0.0108995
10000000,AceHash;2;0.7;0;0;0;0,2,40000000,2.95008,0.104796,0.0109164
10000000,AceHash;2;0.7;0;0;0;0,3,40000000,2.95106,0.104799,0.0109156
10000000,AceHash;2;0.7;0;0;0;0,4,40000000,2.95248,0.104823,0.0109235
10000000,AceHash;2;0.7;1;0;0;0,0,40000000,1.09524,0.104639,0.0106083
10000000,AceHash;2;0.7;1;0;0;0,1,40000000,1.09651,0.104992,0.0106195
10000000,AceHash;2;0.7;1;0;0;0,2,40000000,1.09642,0.104616,0.0106143
