Experiment,Number of keys,Algorithm,Parameters,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
2,10000000,AceHash;1;0;0;0,2.5;1,2,33688656,2.95246,1.02834,0.0997148
2,10000000,AceHash;1;0;0;0,2.5;1,3,33688656,2.94996,1.02824,0.0997859
2,10000000,AceHash;1;0;0;0,2.5;1,4,33688656,2.95255,1.02847,0.0997334
2,10000000,AceHash;1;1;0;0,2.5;1,0,34732440,0.815963,1.10187,0.136091
2,10000000,AceHash;1;1;0;0,2.5;1,1,34732440,0.817503,1.10371,0.136539
2,10000000,AceHash;1;1;0;0,2.5;1,2,34732440,0.817773,1.10209,0.136245
2,10000000,AceHash;1;1;0;0,2.5;1,3,34732440,0.818345,1.10059,0.13618
2,10000000,AceHash;1;1;0;0,2.5;1,4,34732440,0.818245,1.10272,0.136343
2,10000000,AceHash;1;1;1;0,2.5;1,0,34732440,0.817349,0.886794,0.0913526
2,10000000,AceHash;1;1;1;0,2.5;1,1,34732440,0.818101,0.88773,0.0914408
2,10000000,AceHash;1;1;1;0,2.5;1,2,34732440,0.820358,0.887155,0.0912394
2,10000000,AceHash;1;1;1;0,2.5;1,3,34732440,0.818927,0.886709,0.091285
2,10000000,AceHash;1;1;1;0,2.5;1,4,34732440,0.819527,0.887161,0.0913391
2,10000000,AceHash;1;1;0;1,2.5;1,0,34736944,0.220751,1.09933,0.136552
2,10000000,AceHash;1;1;0;1,2.5;1,1,34745904,0.221266,1.09814,0.136182
2,10000000,AceHash;1;1;0;1,2.5;1,2,34740864,0.221186,1.09806,0.136218
2,10000000,AceHash;1;1;0;1,2.5;1,3,34756744,0.221196,1.09875,0.136439
2,10000000,AceHash;1;1;0;1,2.5;1,4,34741952,0.221101,1.09791,0.136226
2,10000000,AceHash;1;1;1;1,2.5;1,0,34747808,0.221062,0.877302,0.0881626
2,10000000,AceHash;1;1;1;1,2.5;1,1,34742912,0.222973,0.882286,0.087112
2,10000000,AceHash;1;1;1;1,2.5;1,2,34737552,0.222212,0.879181,0.0872299
2,10000000,AceHash;1;1;1;1,2.5;1,3,34742272,0.221399,0.877545,0.0871852
2,10000000,AceHash;1;1;1;1,2.5;1,4,34753320,0.221871,0.875836,0.0872421
2,10000000,BBHash;0,2.000000,0,37100160,0.989019,7.62094,0.592418
